## 1.1.1
## assembly	: /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/genomes/CCFEE_6221.Exophiala.xenobiotica.sorted.fasta
## coverage	 bam0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_6221.Exophiala.xenobiotica.remap.bam
## taxonomy	 tax0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/taxonomy/CCFEE_6221.Exophiala.xenobiotica.diamond.tab.taxified.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
scaffold_1	5956873	0.5181	2269	92.2208	Eukaryota	8254.4	0	Ascomycota	8254.4	0	Chaetothyriales	8254.4	0	Herpotrichiellaceae	8254.4	0	Exophiala	8254.4	0	Exophiala xenobiotica	8254.4	0
scaffold_2	7172	0.2652	0	852.2331	Eukaryota	714.1	0	Ascomycota	714.1	0	Chaetothyriales	714.1	0	Herpotrichiellaceae	714.1	0	Exophiala	714.1	0	Exophiala dermatitidis	714.1	0
scaffold_3	4526575	0.5173	1615	92.2131	Eukaryota	5885.1	0	Ascomycota	5885.1	0	Chaetothyriales	5885.1	0	Herpotrichiellaceae	5885.1	0	Exophiala	5885.1	0	Exophiala xenobiotica	5885.1	0
scaffold_4	4904246	0.5188	1505	91.6752	Eukaryota	8337.6	0	Ascomycota	8337.6	0	Chaetothyriales	8337.6	0	Herpotrichiellaceae	8337.6	0	Exophiala	8337.6	0	Exophiala xenobiotica	8337.6	0
scaffold_5	3799686	0.5187	1023	91.6398	Eukaryota	7287.6	0	Ascomycota	7287.6	0	Chaetothyriales	7287.6	0	Herpotrichiellaceae	7287.6	0	Exophiala	7287.6	0	Exophiala xenobiotica	7287.6	0
scaffold_6	4058251	0.5189	1414	92.4647	Eukaryota	4578.0	0	Ascomycota	4578.0	0	Chaetothyriales	4578.0	0	Herpotrichiellaceae	4578.0	0	Exophiala	4578.0	0	Exophiala xenobiotica	4578.0	0
scaffold_7	3291689	0.5194	930	95.6326	Eukaryota	4806.1	0	Ascomycota	4806.1	0	Chaetothyriales	4806.1	0	Herpotrichiellaceae	4806.1	0	Exophiala	4806.1	0	Exophiala xenobiotica	4806.1	0
scaffold_8	3451159	0.521	517	92.6643	Eukaryota	7895.8	0	Ascomycota	7895.8	0	Chaetothyriales	7895.8	0	Herpotrichiellaceae	7895.8	0	Exophiala	7895.8	0	Exophiala xenobiotica	7895.8	0
scaffold_9	62876	0.4921	0	82.9687	Eukaryota	1505.0	0	Ascomycota	1505.0	0	Chaetothyriales	1505.0	0	Herpotrichiellaceae	1505.0	0	Exophiala	1505.0	0	Exophiala oligosperma	1505.0	0
scaffold_10	55842	0.5028	106	89.2122	Eukaryota	1060.1	0	Ascomycota	1060.1	0	Chaetothyriales	1060.1	0	Herpotrichiellaceae	1060.1	0	Exophiala	1060.1	0	Exophiala oligosperma	1060.1	0
scaffold_11	55291	0.5015	0	95.0671	Eukaryota	935.3	0	Ascomycota	935.3	0	Chaetothyriales	935.3	0	Herpotrichiellaceae	935.3	0	Exophiala	935.3	0	Exophiala xenobiotica	935.3	0
scaffold_12	45963	0.5002	0	87.8686	Eukaryota	1378.2	0	Ascomycota	1378.2	0	Chaetothyriales	1378.2	0	Herpotrichiellaceae	1378.2	0	Exophiala	1378.2	0	Exophiala oligosperma	1378.2	0
scaffold_13	39089	0.5022	0	96.2904	Eukaryota	596.7	0	Ascomycota	596.7	0	Chaetothyriales	596.7	0	Herpotrichiellaceae	596.7	0	Exophiala	596.7	0	Exophiala xenobiotica	596.7	0
scaffold_14	38323	0.5012	97	92.4376	Eukaryota	1157.9	0	Ascomycota	1157.9	0	Chaetothyriales	1157.9	0	Herpotrichiellaceae	1157.9	0	Cladophialophora	1157.9	0	Cladophialophora immunda	1157.9	0
scaffold_15	30736	0.4949	0	98.5606	Eukaryota	764.6	0	Ascomycota	764.6	0	Eurotiales	764.6	0	Aspergillaceae	764.6	0	Penicillium	764.6	0	Penicillium polonicum	764.6	0
scaffold_16	30664	0.5125	0	99.6024	Eukaryota	627.9	0	Ascomycota	627.9	0	Chaetothyriales	627.9	0	Herpotrichiellaceae	627.9	0	Fonsecaea	627.9	0	Fonsecaea pedrosoi	627.9	0
scaffold_17	30396	0.4976	99	96.2254	Eukaryota	625.5	0	Ascomycota	625.5	0	Chaetothyriales	625.5	0	Herpotrichiellaceae	625.5	0	Exophiala	625.5	0	Exophiala sideris	625.5	0
scaffold_18	25880	0.4994	0	100.9114	Eukaryota	671.0	0	Ascomycota	671.0	0	Chaetothyriales	671.0	0	Herpotrichiellaceae	671.0	0	Exophiala	671.0	0	Exophiala xenobiotica	671.0	0
scaffold_19	24064	0.5042	0	90.7284	Eukaryota	1157.2	0	Ascomycota	1157.2	0	Chaetothyriales	1157.2	0	Herpotrichiellaceae	1157.2	0	Exophiala	1157.2	0	Exophiala oligosperma	1157.2	0
scaffold_20	22542	0.4953	0	88.5994	Eukaryota	597.4000000000001	0	Ascomycota	597.4000000000001	0	Chaetothyriales	597.4000000000001	0	Herpotrichiellaceae	597.4000000000001	0	Fonsecaea	597.4000000000001	0	Fonsecaea multimorphosa	597.4000000000001	0
scaffold_21	22224	0.5059	0	88.9857	Eukaryota	1229.2	0	Ascomycota	1229.2	0	Chaetothyriales	1229.2	0	Herpotrichiellaceae	1229.2	0	Exophiala	1229.2	0	Exophiala oligosperma	1229.2	0
scaffold_22	21622	0.4974	0	87.5692	Eukaryota	684.1	0	Ascomycota	684.1	0	Chaetothyriales	684.1	0	Herpotrichiellaceae	684.1	0	Capronia	684.1	0	Capronia epimyces	684.1	0
scaffold_23	21157	0.479	0	113.3442	Eukaryota	1040.8	0	Ascomycota	1040.8	0	Chaetothyriales	1040.8	0	Herpotrichiellaceae	1040.8	0	Exophiala	1040.8	0	Exophiala oligosperma	1040.8	0
scaffold_24	18832	0.5	0	91.9346	Eukaryota	1873.1	0	Ascomycota	1873.1	0	Chaetothyriales	1873.1	0	Herpotrichiellaceae	1873.1	0	Exophiala	1873.1	0	Exophiala oligosperma	1873.1	0
scaffold_25	18072	0.5055	0	91.797	Eukaryota	286.6	0	Ascomycota	286.6	0	Chaetothyriales	286.6	0	Herpotrichiellaceae	286.6	0	Cladophialophora	286.6	0	Cladophialophora immunda	286.6	0
scaffold_26	17789	0.5176	0	106.5282	Eukaryota	678.3	0	Ascomycota	678.3	0	Chaetothyriales	678.3	0	Herpotrichiellaceae	678.3	0	Exophiala	678.3	0	Exophiala oligosperma	678.3	0
scaffold_27	16894	0.4989	0	109.4722	Eukaryota	405.6	0	Ascomycota	405.6	0	Chaetothyriales	405.6	0	Herpotrichiellaceae	405.6	0	Exophiala	405.6	0	Exophiala spinifera	405.6	0
scaffold_28	16777	0.4949	0	91.7904	Eukaryota	746.9	0	Ascomycota	746.9	0	Chaetothyriales	746.9	0	Herpotrichiellaceae	746.9	0	Exophiala	746.9	0	Exophiala oligosperma	746.9	0
scaffold_29	15951	0.5026	0	98.7888	Eukaryota	709.5	0	Ascomycota	709.5	0	Chaetothyriales	709.5	0	Herpotrichiellaceae	709.5	0	Exophiala	709.5	0	Exophiala xenobiotica	709.5	0
scaffold_30	15723	0.4914	0	95.3312	Eukaryota	358.2	0	Ascomycota	358.2	0	Chaetothyriales	358.2	0	Herpotrichiellaceae	358.2	0	Exophiala	358.2	0	Exophiala oligosperma	358.2	0
