## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5823.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	2,611	100.0%	33,164,339	100.0%	3,947,746	0.5	0.036	358.4	344.7	57,017,299	99.3%
Chaetothyriales	#1f77b4	597	100.0%	31,756,308	100.0%	3,947,746	0.51	0.032	389.9	390.3	53,124,149	92.6%
no-hit	#d3d3d3	1,947	100.0%	1,032,252	100.0%	641	0.5	0.037	346.3	326.4	3,053,839	5.3%
Ascomycota-undef	#ff7f0e	12	100.0%	175,775	100.0%	40,032	0.51	0.023	314.3	124.4	308,406	0.5%
Eurotiales	#d62728	20	100.0%	64,115	100.0%	10,799	0.51	0.021	397.6	264.7	147,674	0.3%
Pezizales	#9467bd	1	100.0%	23,964	100.0%	23,964	0.51	0.0	202.0	0.0	34,490	0.1%
Helotiales	#e377c2	8	100.0%	23,528	100.0%	7,692	0.5	0.017	300.6	89.9	46,783	0.1%
Capnodiales	#7f7f7f	3	100.0%	21,850	100.0%	20,582	0.53	0.034	260.4	98.1	37,450	0.1%
Xylariales	#bcbd22	2	100.0%	19,240	100.0%	18,519	0.51	0.0053	381.2	136.6	34,935	0.1%
other	#ffffff	21	100.0%	47,307	100.0%	6,373	0.5	0.022	609.7	608.8	229,573	0.4%
Hypocreales	None	3	100.0%	14,018	100.0%	12,137	0.51	0.025	501.5	242.1	27,575	0.0%
Phaeomoniellales	None	1	100.0%	8,685	100.0%	8,685	0.5	0.0	334.4	0.0	20,695	0.0%
Sporadotrichida	None	1	100.0%	6,373	100.0%	6,373	0.51	0.0	2787.6	0.0	126,585	0.2%
Pleosporales	None	7	100.0%	5,666	100.0%	1,244	0.51	0.024	347.7	112.8	14,293	0.0%
Saccharomycetales	None	1	100.0%	5,063	100.0%	5,063	0.5	0.0	285.4	0.0	10,296	0.0%
Onygenales	None	2	100.0%	3,420	100.0%	2,714	0.51	0.012	488.6	95.8	10,536	0.0%
Glomerellales	None	3	100.0%	2,095	100.0%	632	0.48	0.011	555.9	49.1	8,190	0.0%
Verrucariales	None	1	100.0%	1,020	100.0%	1,020	0.51	0.0	417.0	0.0	3,031	0.0%
Erysiphales	None	1	100.0%	494	100.0%	494	0.5	0.0	1999.8	0.0	7,039	0.0%
Botryosphaeriales	None	1	100.0%	473	100.0%	473	0.49	0.0	395.5	0.0	1,333	0.0%
